ID,Show,O_R,M_P,Genre,OpenMonth,OpenYear,CloseMonth,CloseYear,Npreform,Coder,Cast_Size,Theatre,Capacity,Street,ProdCredits,Special,Organizer
94,Chitty Chitty Bang Bang ,Original,Musical, Comedy,4,2005,12,2005,285.0,OM,67.0,Lyric ,1938,42,24,,Ambassador  
95,Cinderella ,Original,Musical,,3,2013,1,2015,769.0,OM,29.0,Broadway ,1761,53,39,Kids,Shubert 
96,Cirque Dreams: Jungle Fantasy ,Original,Musical, Circus,6,2008,8,2008,70.0,OM,28.0,Broadway ,1761,53,7,,Shubert 
97,Clybourne Park ,Original,Play, Comedy,4,2012,9,2012,157.0,OP,12.0,Walter Kerr ,945,48,3,,Jujamcyn 
98,Colin Quinn: Long Story Short ,Original,Play, Comedy,11,2010,3,2011,135.0,OP,1.0,Helen Hayes ,597,44,15,,Second Stage 
99,Collected Stories ,Original,Play, Drama,4,2010,6,2010,54.0,OP,4.0,Samuel J. Friedman ,650,47,2,,Manhattan  Club
100,"Come Back, Little Sheba ",Revival,Play, Drama,1,2008,3,2008,58.0,RP,14.0,Samuel J. Friedman ,650,47,1,,Manhattan  Club
101,Come Fly Away ,Original,Musical, Dance,3,2010,9,2010,188.0,OM,27.0,Marquis ,1612,46,33,,Nederlander 
102,Come From Away ,Original,Musical,,3,2017,NA,NA,281.0,OM,16.0,Gerald Schoenfeld ,1079,45,22,,Shubert 
103,Company ,Revival,Musical, Drama,11,2006,7,2007,246.0,RM,20.0,Ethel Barrymore ,1096,47,0,,Shubert 
104,Constellations ,Original,Play,,1,2015,3,2015,76.0,OP,4.0,Samuel J. Friedman ,650,47,12,,Manhattan  Club
105,Coram Boy ,Original,Play, Drama,5,2007,5,2007,30.0,OP,40.0,Imperial ,1443,45,2,,Shubert 
106,Cry-Baby ,Original,Musical, Comedy,4,2008,6,2008,68.0,OM,30.0,Marquis ,1612,46,8,,Nederlander 
107,Curtains ,Original,Musical, Comedy,3,2007,6,2008,511.0,OM,31.0,Al Hirschfeld ,1424,45,32,,Jujamcyn 
108,Cymbeline ,Revival,Play, Romance,12,2007,1,2008,40.0,RP,26.0,Vivian Beaumont,1080,65,12,,Lincoln Center 
109,Cyrano de Bergerac  - Rev 16,Revival,Play, Comedy,11,2007,1,2008,56.0,RP,27.0,American Airlines ,740,42,36,,Roundabout  
110,Cyrano de Bergerac  - Rev 17 ,Revival,Play, Comedy,10,2012,11,2012,52.0,RP,18.0,Richard Rodgers ,1400,46,3,,Nederlander 
111,Dames at Sea ,Original,Musical, Comedy,10,2015,1,2016,85.0,OM,10.0,Helen Hayes ,597,44,1,,Second Stage 
112,Dead Accounts ,Original,Play, Comedy,11,2012,1,2013,44.0,OP,8.0,Music Box ,1009,45,12,,Shubert 
113,Dear Evan Hansen ,Original,Musical,,12,2016,NA,NA,393.0,OM,28.0,Music Box ,1009,45,23,,Shubert 
114,Death of a Salesman ,Revival,Play, Drama,3,2012,6,2012,78.0,RP,17.0,Ethel Barrymore ,1096,47,21,,Shubert 
115,Desire Under the Elms ,Revival,Play, Drama,4,2009,5,2009,32.0,RP,9.0,St. James ,1709,44,4,,Jujamcyn 
116,Deuce ,Original,Play,,5,2007,8,2007,121.0,OP,9.0,Music Box ,1009,45,19,,Shubert 
117,Dirty Rotten Scoundrels ,Original,Musical, Comedy,3,2005,9,2006,627.0,OM,27.0,Imperial ,1443,45,40,,Shubert 
118,Disaster! ,Original,Musical, Comedy,3,2016,5,2016,72.0,OM,19.0,Nederlander ,1235,41,25,,Nederlander 
119,Disgraced ,Original,Play, Drama,10,2014,3,2015,149.0,OP,9.0,Lyceum ,922,45,10,,Shubert 
120,Dividing the Estate ,Original,Play, Comedy,11,2008,1,2009,50.0,OP,21.0,Booth ,766,45,19,,Shubert 
121,Doctor Zhivago ,Original,Musical, Drama,4,2015,5,2015,23.0,OM,32.0,Broadway ,1761,53,4,,Shubert 
122,Don't Dress for Dinner ,Original,Play, Comedy,4,2012,6,2012,61.0,OP,10.0,American Airlines ,740,42,2,,Roundabout  
123,Doubt ,Original,Play, Drama,3,2005,7,2006,525.0,OP,8.0,Walter Kerr ,945,48,14,,Jujamcyn 
124,Dr. Seuss' How the Grinch Stole Christmas! ,Revival,Musical, Comedy,11,2006,1,2007,107.0,RM,41.0,Lyric ,1938,42,26,Kids,Ambassador  
125,Dr. Seuss' How the Grinch Stole Christmas! - Rev,Revival,Musical, Comedy,11,2007,1,2008,96.0,RM,39.0,St. James ,1709,44,31,Kids,Jujamcyn 
126,Driving Miss Daisy ,Original,Play, Comedy,10,2010,4,2011,180.0,OP,6.0,John Golden ,805,45,18,,Shubert 
127,Eclipsed ,Original,Play, Drama,3,2016,6,2016,121.0,OP,8.0,John Golden ,805,45,21,,Shubert 
128,Elf - The Musical ,Original,Musical, Comedy,11,2010,1,2011,57.0,OM,26.0,Al Hirschfeld ,1424,45,26,Kids,Jujamcyn 
129,Elf The Musical ,Original,Musical, Comedy,11,2012,1,2013,74.0,OM,27.0,Al Hirschfeld ,1424,45,35,Kids,Jujamcyn 
130,Elling ,Original,Play, Comedy,11,2010,11,2010,9.0,OP,8.0,Ethel Barrymore ,1096,47,7,,Shubert 
131,End of the Rainbow ,Original,Play, Play with music,4,2012,8,2012,160.0,OP,7.0,Belasco ,1018,44,7,,Shubert 
132,Enron ,Original,Play, Drama,4,2010,5,2010,16.0,OP,19.0,Broadhurst ,1186,44,6,,Shubert 
133,Equus ,Revival,Play, Drama,9,2008,2,2009,156.0,RP,20.0,Broadhurst ,1186,44,17,,Shubert 
134,Everyday Rapture ,Original,Musical,,4,2010,7,2010,85.0,OM,6.0,American Airlines ,740,42,11,,Roundabout  
135,Evita ,Revival,Musical, Drama,4,2012,1,2013,337.0,RM,36.0,Marquis ,1612,46,39,,Nederlander 
136,Exit the King ,Revival,Play, Comedy,3,2009,6,2009,93.0,RP,9.0,Ethel Barrymore ,1096,47,6,,Shubert 
137,Faith Healer ,Revival,Play,,5,2006,8,2006,117.0,RP,6.0,Booth ,766,45,6,,Shubert 
138,Falsettos ,Revival,Musical,,10,2016,1,2017,84.0,RM,12.0,Walter Kerr ,945,48,3,,Jujamcyn 
139,Fela! ,Original,Musical,,11,2009,1,2011,463.0,OM,28.0,Eugene O'Neill ,1066,49,34,,Jujamcyn 
140,Fela! - Rev,Revival,Musical,,7,2012,8,2012,28.0,RM,27.0,Al Hirschfeld ,1424,45,8,,Jujamcyn 
141,Fences ,Revival,Play, Drama,4,2010,7,2010,88.0,RP,12.0,Cort ,1084,48,36,,Shubert 
142,Festen ,Original,Play, Drama,4,2006,5,2006,49.0,OP,19.0,Music Box ,1009,45,21,,Shubert 
143,Fiddler on the Roof  - Rev 4,Revival,Musical, Comedy,2,2004,1,2006,781.0,RM,42.0,Minskoff ,1710,45,33,,Nederlander 
144,Fiddler on the Roof  - Rev 5,Revival,Musical, Comedy,12,2015,12,2016,431.0,RM,37.0,Broadway ,1761,53,27,,Shubert 
145,Finding Neverland ,Original,Musical,,4,2015,8,2016,565.0,OM,32.0,Lunt-Fontanne ,1519,46,19,Box,Nederlander 
146,Finian's Rainbow ,Revival,Musical, Comedy,10,2009,1,2010,92.0,RM,35.0,St. James ,1709,44,3,,Jujamcyn 
147,First Date ,Original,Musical, Comedy,8,2013,1,2014,174.0,OM,11.0,Longacre ,1091,48,19,,Shubert 
148,Fish in the Dark ,Original,Play, Comedy,3,2015,8,2015,173.0,OP,24.0,Cort ,1084,48,29,,Shubert 
149,Follies ,Revival,Musical, Drama,9,2011,1,2012,152.0,RM,41.0,Marquis ,1612,46,20,,Nederlander 
150,Fool for Love ,Original,Play,,10,2015,12,2015,75.0,OP,7.0,Samuel J. Friedman ,650,47,18,,Manhattan  Club
151,Frost/Nixon ,Original,Play, Drama,4,2007,8,2007,137.0,OP,14.0,Bernard B. Jacobs ,1078,45,3,,Shubert 
152,Fully Committed ,Original,Play, Comedy,4,2016,7,2016,112.0,OP,1.0,Lyceum ,922,45,4,,Shubert 
153,Fun Home ,Original,Musical,,4,2015,9,2016,583.0,OM,14.0,Circle in the Square ,840,50,0,,Independent
154,Ghetto Klown ,Original,Play, Solo,3,2011,7,2011,95.0,OP,1.0,Lyceum ,922,45,3,Solo,Shubert 
155,Ghost The Musical ,Original,Musical,,4,2012,8,2012,136.0,OM,26.0,Lunt-Fontanne ,1519,46,9,Box,Nederlander 
156,Gigi ,Revival,Musical, Comedy,4,2015,6,2015,86.0,RM,22.0,Neil Simon ,1467,52,9,,Nederlander 
157,Glengarry Glen Ross ,Revival,Play, Drama,12,2012,1,2013,45.0,RP,8.0,Gerald Schoenfeld ,1079,45,28,,Shubert 
158,Glory Days ,Original,Musical,,5,2008,5,2008,1.0,OM,4.0,Circle in the Square ,840,50,9,,Independent
159,God of Carnage ,Original,Play, Comedy,3,2009,6,2010,452.0,OP,6.0,Bernard B. Jacobs ,1078,45,25,,Shubert 
160,Godspell ,Revival,Musical,,11,2011,6,2012,264.0,RM,14.0,Circle in the Square ,840,50,2,,Independent
161,Golden Boy ,Revival,Play, Drama,12,2012,1,2013,53.0,RP,22.0,Belasco ,1018,44,8,,Shubert 
162,Good People ,Original,Play, Drama,3,2011,5,2011,101.0,OP,10.0,Samuel J. Friedman ,650,47,11,,Manhattan  Club
163,Gore Vidal's The Best Man ,Revival,Play,,4,2012,9,2012,185.0,RP,20.0,Gerald Schoenfeld ,1079,45,32,,Shubert 
164,Grace ,Original,Play, Comedy,10,2012,1,2013,108.0,OP,7.0,Cort ,1084,48,3,,Shubert 
165,Grease ,Revival,Musical, Comedy,8,2007,1,2009,554.0,RM,25.0,Brooks Atkinson ,1094,47,24,,Nederlander 
166,Grey Gardens ,Original,Musical, Drama,11,2006,7,2007,307.0,OM,16.0,Walter Kerr ,945,48,9,,Jujamcyn 
167,Groundhog Day ,Original,Musical, Comedy,4,2017,9,2017,176.0,OM,24.0,August Wilson ,1228,52,0,Box,Jujamcyn 
168,Guys and Dolls ,Revival,Musical, Comedy,3,2009,6,2009,121.0,RM,31.0,Nederlander ,1235,41,17,,Nederlander 
169,Gypsy ,Revival,Musical, Drama,3,2008,1,2009,332.0,RM,34.0,St. James ,1709,44,24,,Jujamcyn 
170,Hair ,Revival,Musical,,3,2009,6,2010,519.0,RM,32.0,Al Hirschfeld ,1424,45,40,,Jujamcyn 
171,HAIR Revival ,Revival,Musical,,7,2011,9,2011,67.0,RM,30.0,St. James ,1709,44,5,,Jujamcyn 
172,Hairspray ,Original,Musical, Comedy,8,2002,1,2009,2642.0,OM,34.0,Neil Simon ,1467,52,22,,Nederlander 
173,Hamilton ,Original,Musical,,8,2015,NA,NA,949.0,OM,28.0,Richard Rodgers ,1400,46,36,,Nederlander 
174,Hamlet ,Revival,Play, Tragedy,10,2009,12,2009,72.0,RP,20.0,Broadhurst ,1186,44,23,Shakespeare,Shubert 
175,Hand to God ,Original,Play, Comedy,4,2015,1,2016,311.0,OP,8.0,Booth ,766,45,13,,Shubert 
176,Hands on a Hardbody ,Original,Musical,,3,2013,4,2013,28.0,OM,23.0,Brooks Atkinson ,1094,47,13,,Nederlander 
177,Harvey ,Revival,Play,,6,2012,8,2012,62.0,RP,15.0,Studio 54,1006,54,15,,Roundabout  
178,Heartbreak House ,Revival,Play, Comedy,10,2006,12,2006,79.0,RP,13.0,American Airlines ,740,42,4,,Roundabout  
179,Hedda Gabler ,Revival,Play, Drama,1,2009,3,2009,74.0,RP,11.0,American Airlines ,740,42,12,,Roundabout  
180,Hedwig and the Angry Inch ,Original,Musical,,4,2014,9,2015,507.0,OM,7.0,Belasco ,1018,44,31,,Shubert 
181,Heisenberg ,Original,Play,,10,2016,12,2016,67.0,OP,4.0,Samuel J. Friedman ,650,47,10,,Manhattan  Club
182,"Hello, Dolly! ",Revival,Musical,,4,2017,NA,NA,229.0,RM,37.0,Shubert ,1460,44,39,,Shubert 
183,High ,Original,Play, Drama,4,2011,4,2011,7.0,OP,6.0,Booth ,766,45,7,,Shubert 
184,High Fidelity ,Original,Musical, Comedy,12,2006,12,2006,14.0,OM,19.0,Imperial ,1443,45,2,,Shubert 
185,Holiday Inn ,Original,Musical,,10,2016,1,2017,117.0,OM,27.0,Studio 54,1006,54,11,,Roundabout  
186,Holler If Ya Hear Me ,Original,Musical,,6,2014,7,2014,38.0,OM,27.0,Palace ,1743,47,2,,Nederlander 
187,Honeymoon in Vegas ,Original,Musical, Comedy,1,2015,4,2015,93.0,OM,24.0,Nederlander ,1235,41,16,,Nederlander 
188,Hot Feet ,Original,Musical, Dance,4,2006,7,2006,97.0,OM,39.0,Lyric ,1938,42,23,,Ambassador  
189,How to Succeed in Business Without Really Trying ,Revival,Musical, Comedy,3,2011,5,2012,473.0,RM,30.0,Al Hirschfeld ,1424,45,21,,Jujamcyn 
190,Hughie ,Revival,Play,,2,2016,3,2016,37.0,RP,3.0,Booth ,766,45,4,,Shubert 
191,I'll Eat You Last: A Chat With Sue Mengers ,Original,Play, Solo,4,2013,6,2013,71.0,OP,1.0,Booth ,766,45,26,Solo,Shubert 
192,If/Then ,Original,Musical,,3,2014,3,2015,401.0,OM,21.0,Richard Rodgers ,1400,46,18,,Nederlander 
193,Impressionism ,Original,Play, Drama,3,2009,5,2009,56.0,OP,14.0,Gerald Schoenfeld ,1079,45,14,,Shubert 
194,In the Heights ,Original,Musical,,3,2008,1,2011,1184.0,OM,27.0,Richard Rodgers ,1400,46,34,,Nederlander 
195,IN THE NEXT ROOM or the vibrator play ,Original,Play, Comedy,11,2009,1,2010,60.0,OP,12.0,Lyceum ,922,45,8,,Shubert 
196,In Transit ,Original,Musical,,12,2016,4,2017,145.0,OM,16.0,Circle in the Square ,840,50,6,,Independent
197,Indecent ,Original,Play, Drama,4,2017,8,2017,128.0,OP,13.0,Cort ,1084,48,7,,Shubert 
198,Inherit the Wind ,Revival,Play, Drama,4,2007,7,2007,100.0,RP,34.0,Lyceum ,922,45,19,,Shubert 
199,Irena's Vow ,Original,Play, Drama,3,2009,6,2009,105.0,OP,14.0,Walter Kerr ,945,48,6,,Jujamcyn 
200,Irving Berlin's White Christmas ,Original,Musical, Comedy,11,2008,1,2010,104.0,OM,33.0,Marquis ,1612,46,25,,Nederlander 
201,Is He Dead? ,Original,Play, Comedy,12,2007,3,2008,105.0,OP,15.0,Lyceum ,922,45,6,,Shubert 
202,It Shoulda Been You ,Original,Musical, Comedy,4,2015,8,2015,135.0,OM,18.0,Brooks Atkinson ,1094,47,0,,Nederlander 
203,It's Only a Play ,Original,Play, Comedy,10,2014,6,2015,274.0,OP,10.0,Bernard B. Jacobs ,1078,45,19,,Shubert 
204,Jekyll & Hyde ,Revival,Musical, Drama,4,2013,5,2013,30.0,RM,23.0,Marquis ,1612,46,10,,Nederlander 
205,Jersey Boys ,Original,Musical,,11,2005,1,2017,4642.0,OM,16.0,August Wilson ,1228,52,28,,Jujamcyn 
